review,sentiment
A cinematic triumph I will definitely be watching this again,positive
A masterpiece of modern cinema the director did a fantastic job,positive
The characters were completely unlikeable and the ending was awful,negative
Outstanding performance by the lead actor this film deserves all the awards,positive
An incoherent mess that failed on every level deeply disappointing,negative
Beautifully crafted and deeply moving one of my all time favorite films,positive
Extremely predictable and utterly forgettable do not bother,negative
I fell asleep halfway through the plot was painfully slow,negative
The chemistry between the actors was electric loved every scene,positive
Beautifully crafted and deeply moving one of my all time favorite films,positive
A beautiful and touching story that left me speechless,positive
Nothing original here a stale and tedious experience throughout,negative
An amazing blend of humor and drama this movie has it all,positive
A disaster from start to finish the script was embarrassingly bad,negative
Fantastic entertainment from start to finish absolutely loved it,positive
This movie was a complete waste of time absolutely terrible,negative
Confusing plot twists and awful pacing made this film unbearable,negative
One of the worst films I have ever seen avoid at all costs,negative
Confusing plot twists and awful pacing made this film unbearable,negative
The acting was superb and the storyline kept me engaged throughout,positive
Fantastic entertainment from start to finish absolutely loved it,positive
Heartwarming and inspiring one of the best feel good films in years,positive
I fell asleep halfway through the plot was painfully slow,negative
The characters were completely unlikeable and the ending was awful,negative
Wonderful direction and a story that stays with you long after the credits roll,positive
Tedious repetitive and utterly without merit a complete waste,negative
The dialogue was cringe worthy and the story made no sense whatsoever,negative
Heartwarming and inspiring one of the best feel good films in years,positive
Nothing original here a stale and tedious experience throughout,negative
The dialogue was cringe worthy and the story made no sense whatsoever,negative
One of the worst films I have ever seen avoid at all costs,negative
I cannot believe how bad this was boring predictable and pointless,negative
Wonderful direction and a story that stays with you long after the credits roll,positive
Incredible visuals combined with a powerful narrative truly exceptional,positive
A poorly directed mess with no redeeming qualities,negative
This movie was absolutely brilliant and captivating from start to finish,positive
Brilliant storytelling and wonderful performances across the board,positive
The pacing was atrocious and the ending made no sense at all,negative
One of the worst films I have ever seen avoid at all costs,negative
I loved every moment of this film the characters were so well developed,positive
Fantastic entertainment from start to finish absolutely loved it,positive
Poor acting and a nonsensical plot very disappointing,negative
One of the best films I have ever seen highly recommended,positive
Two hours of my life I will never get back absolutely dreadful,negative
An amazing blend of humor and drama this movie has it all,positive
Fantastic entertainment from start to finish absolutely loved it,positive
Incredible visuals combined with a powerful narrative truly exceptional,positive
An incoherent mess that failed on every level deeply disappointing,negative
Stunning cinematography and a gripping plot this is cinema at its finest,positive
This film exceeded all my expectations an absolute joy to watch,positive
Terrible special effects and a cliched storyline not worth watching,negative
A catastrophic failure on every level the cast deserved much better,negative
This movie was absolutely brilliant and captivating from start to finish,positive
Emotionally resonant and visually stunning a true work of art,positive
Brilliant storytelling and wonderful performances across the board,positive
Wooden acting and a derivative plot feels like a cheap imitation,negative
I cannot believe how bad this was boring predictable and pointless,negative
